 ,start_year,end_year,centre_year,frequency,duration,max_intensity,max_max_intensity,mean_intensity,intensity_variablity,cumulative_intensity,rate_onset,rate_decline,mhw_days,total_cumulative_intensity
1,1993,1993,1993,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0
2,1994,1994,1994,4,6.25,1.713546377,2.363214876,1.330067092,0.221518089,8.383006245,0.424239958,0.278041023,22,22.57885389
3,1995,1995,1995,1,7,1.369407717,1.369407717,1.25062639,0.098273052,8.754384729,0.139670201,0.124007763,10,19.70755582
4,1996,1996,1996,1,9,2.838305258,2.838305258,2.159197181,0.520270492,19.43277463,0.678375425,0.238243351,9,19.43277463
5,1997,1997,1997,1,5,1.632049688,1.632049688,1.251078537,0.230617427,6.255392686,0.224392112,1.463224307,5,6.255392686
6,1998,1998,1998,1,5,1.67692752,1.67692752,1.400368764,0.221289653,7.001843819,0.168559064,0.68076446,5,7.001843819
7,1999,1999,1999,5,12.6,2.476190769,3.226551946,1.699620584,0.323902953,23.54769991,0.312779622,0.28652822,56,95.31176464
8,2000,2000,2000,0,nan,nan,nan,nan,nan,nan,nan,nan,7,22.42673493
9,2001,2001,2001,1,9,2.120671327,2.120671327,1.812431288,0.255453929,16.3118816,0.094617052,0.316389754,9,16.3118816
10,2002,2002,2002,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0
11,2003,2003,2003,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0
12,2004,2004,2004,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0
13,2005,2005,2005,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0
14,2006,2006,2006,2,10.5,1.752946937,1.805057242,1.4467015,0.241641625,14.61033019,0.448348411,0.171060835,21,29.22066038
15,2007,2007,2007,1,7,1.850437106,1.850437106,1.465402511,0.311644906,10.25781758,0.729072862,0.182751979,7,10.25781758
16,2008,2008,2008,3,8.666666667,2.087054119,2.584748656,1.637810003,0.291816131,14.35566847,0.258905321,0.271156751,26,43.06700542
17,2009,2009,2009,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0
18,2010,2010,2010,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0
19,2011,2011,2011,1,88,3.379065482,3.379065482,1.890164199,0.511154577,166.3344495,0.156189099,0.029829082,88,166.3344495
20,2012,2012,2012,3,11.66666667,2.430735927,3.11724221,1.718738021,0.465327158,21.47021737,0.235252045,0.325169443,26,42.04832797
21,2013,2013,2013,3,10,2.145378456,2.283392822,1.695030571,0.254901291,16.3197959,0.584198534,0.185319084,39,71.32171183
22,2014,2014,2014,2,7.5,1.958778668,1.982649405,1.480951934,0.291632068,11.12095474,0.26305637,0.232165051,15,22.24190949
23,2015,2015,2015,3,8.333333333,2.053850046,2.41359893,1.636872478,0.294923123,13.270612,0.356075982,0.218368278,25,39.81183599
24,2016,2016,2016,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0
25,2017,2017,2017,1,7,2.284985885,2.284985885,1.585164319,0.322274519,11.09615023,1.052000146,0.230127852,7,11.09615023
26,2018,2018,2018,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0
27,2019,2019,2019,4,6.5,1.712041666,2.378532898,1.440844159,0.203091274,9.425419016,0.211175654,0.403931681,26,37.70167606
